Lender*,Lender's classification,Debt Stock**,Interest Arrears,Total Debt Stock
Grand total: 44 creditors,,12909846218,470774438,13380620655
AFD,BILATERAL,68851226,427222,69278448
AFRICA G. T.  FUND,MULTILATERAL,16954890,0,16954890
AFRICAN DEV BANK,MULTILATERAL,239015957,372713,239388670
AFRICAN DEV FUND,MULTILATERAL,506694105,112693,506806798
BADEA,PLURILATERAL,34801398,0,34801398
BANK HAPOALIM BM,COMMERCIAL,46363664,2164869,48528533
BANK OF CHINA,COMMERCIAL,268631280,13173916,281805196
CATIC,COMMERCIAL,89571398,6172106,95743504
CDB,COMMERCIAL,469420450,29423337,498843787
CHINA MINSHENG BANK,COMMERCIAL,38069199,1660377,39729576
CREDIT SUISSE,COMMERCIAL,33665935,2408966,36074901
DBSA,BILATERAL,151674501,13936590,165611091
EIB,PLURILATERAL,176074113,129727,176203840
ESA TDB,PLURILATERAL,495614549,21120470,516735019
EUROBONDS,COMMERCIAL,3000000000,161218750,3161218750
AFREXIMBANK,PLURILATERAL,44854512,989296,45843807
EXIM BANK INDIA,BILATERAL,315285417,2020752,317306169
EXIM CHINA,BILATERAL,2869254005,113202102,2982456107
EXIM RUSSIA,BILATERAL,158624934,11869747,170494680
EXIM US,BILATERAL,45364059,402162,45766221
GOVT OF CHINA,BILATERAL,23233409,0,23233409
GOVT OF IRAQ,BILATERAL,37088014,10020192,47108207
GOVT OF JAPAN,BILATERAL,45419459,5727,45425186
IDA,MULTILATERAL,1358895088,3254,1358898342
IFAD,MULTILATERAL,151523310,499936,152023246
ICBC,COMMERCIAL,460937309,27228488,488165796
INTESA SANPAOLO BANK,COMMERCIAL,93139276,1950039,95089315
INVESTEC,COMMERCIAL,346038196,14128936,360167132
ISRAEL DISCOUNT BANK,COMMERCIAL,359191158,16215781,375406939
JIANGXI BANK,COMMERCIAL,30000000,4430267,34430267
KFAED,BILATERAL,619456,48547,668002
MIKALILE TRADING CO.,COMMERCIAL,306205508,0,306205508
NDF,PLURILATERAL,24127082,179554,24306636
NEDBANK,COMMERCIAL,32894423,2758600,35653023
NIGERIAN TRUST FUND,MULTILATERAL,7682693,0,7682693
NORDEA,COMMERCIAL,49660311,0,49660311
OFID,PLURILATERAL,28758064,76890,28834953
PARAMOUNT LTD,COMMERCIAL,10763858,0,10763858
POLYTECH,COMMERCIAL,185504775,5173151,190677926
SAUDI FUNDS FOR DEV,BILATERAL,12764236,601769,13366005
STARLITE,COMMERCIAL,39508852,1559256,41068108
STD CHARTD BANK,COMMERCIAL,79461163,4167373,83628536
STRATEGIC CLIMATE FUND,MULTILATERAL,15455246,0,15455246
UKEF,BILATERAL,142189741,920884,143110625
